"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
8,673GC,Brooksville,Brooksville,FL,"6,389","51,782"
8,673GF,Zephyrhills,Zephyrhills,FL,"3,360","20,193"
8,675,Orlando,Orlando,FL,"81,883","340,283"
8,675GA,Viera OPC,Viera,FL,"24,869","352,242"
8,675GB,Daytona Beach,Daytona Beach,FL,"19,485","207,815"
8,675GC,Kissimmee,Kissimmee,FL,"4,584","27,815"
8,675GD,Orange City,Sanford,FL,"4,210","23,818"
8,675GE,Leesburg (Lake County),Leesburg,FL,"4,741","24,597"
8,675GF,Clermont,Clermont,FL,"3,362","14,789"
8,675GG,Lake Baldwin OPC,Orlando,FL,"68,117","647,213"
9,581GA,Prestonsburg,Prestonsburg,KY,"3,280","26,096"
9,581GB,Charleston,Charleston,WV,"6,332","38,003"
9,596,Lexington-Leestown,Lexington,KY,"28,458","235,472"
9,596GA,Somerset,Somerset,KY,"5,164","20,769"
9,596GB,Morehead,Morehead,KY,"2,226","8,244"
9,596GC,Hazard/Perry County,Hazard,KY,"2,068","6,857"
9,596GD,Berea,Berea,KY,"3,925","11,854"
9,603GA,Fort Knox,Fort Knox,KY,"5,126","21,109"
9,603GB,New Albany IN (Southern Indiana),New Albany,IN,"6,853","47,368"
9,603GC,Shively (Louisville-Jefferson County),Louisville,KY,"8,993","45,634"
9,603GD,Dupont,Louisville,KY,"5,687","38,007"
9,603GE,Newburg,Louisville,KY,"8,404","45,211"
9,603GF,Grayson County,Clarkson,KY,"4,027","30,901"
9,603GG,Scott County,Scottsburg,IN,"2,889","20,184"
9,603GH,Carroll County,Carrollton,KY,"2,533","9,488"
9,614GA,Smithville,Smithville,MS,"4,309","18,481"
9,614GB,Jonesboro,Jonesboro,AR,"3,221","15,266"
9,614GC,Byhalia (Marshall County),Byhalia,MS,"1,065","3,500"
9,614GD,Savannah (Hardin County),Savannah,TN,"1,778","7,791"
9,614GE,Covington,Memphis,TN,"5,866","23,406"
9,614GF,Memphis-South Clinic,Memphis,TN,"7,057","34,178"
9,614GG,Jackson TN,Jackson,TN,"6,451","23,312"
9,614GH,Bolivar,Bolivar,TN,526,818
9,614GI,Dyersburg,Dyersburg,TN,"1,792","8,670"
9,614GN,Helena,Helena,AR,905,"4,639"
9,621BY,Knoxville,Knoxville,TN,"16,307","124,316"
9,621GA,Rogersville,Rogersville,TN,"1,208","5,548"
9,621GC,Norton,Norton,VA,"2,291","19,616"
9,621GG,Morristown,Morristown,TN,"2,206","11,270"
9,621GI,Pigeon Forge Clinic (Sevierville),Sevierville,TN,"2,185","9,857"
9,621GJ,Bristol,Bristol,VA,"3,705","15,921"
9,626GA,Dover,Dover,TN,796,"2,423"
9,626GC,Bowling Green,Bowling Green,KY,"2,927","11,225"
9,626GE,Clarksville,Clarksville,TN,"7,148","38,353"
9,626GF,Chattanooga,Chattanooga,TN,"15,012","137,477"
9,626GG,Tullahoma,Arnold AFB,TN,"1,849","8,116"
9,626GH,Cookeville,Cookeville,TN,"5,320","22,854"
9,626GJ,Hopkinsville (Christian County),Hopkinsville,KY,"2,667","14,031"
9,626GK,McMinnville,McMinnville,TN,"1,687","11,585"
9,626GL,Roane County,Rockwood,TN,35,37
9,626GM,Maury County,Columbia,TN,"2,378","8,301"
10,538GA,Athens,Athens,OH,"2,310","19,628"
10,538GB,Portsmouth,Portsmouth,OH,"2,718","20,863"
10,538GC,Marietta,Marietta,OH,"1,665","10,320"
10,538GD,Lancaster,Lancaster,OH,"2,979","22,597"
10,538GE,Cambridge,Cambridge,OH,"1,558","10,706"
10,539GA,Bellevue,Bellevue,KY,"5,112","34,437"
10,539GB,Cincinnati (Clermont County),Cincinnati,OH,"6,194","46,363"
10,539GC,Lawrenceburg (Dearborn County),Greendale,IN,"3,627","24,571"
10,539GD,Florence,Florence,KY,"4,619","31,750"
10,539GE,Hamilton,Hamilton,OH,"3,784","25,934"
10,539GF,Georgetown,Georgetown,OH,"1,098","5,770"
10,541BY,Canton,Canton,OH,"23,877","105,593"
10,541BZ,Youngstown,Youngstown,OH,"10,164","87,307"
10,541GB,Lorain,Lorain,OH,"11,193","58,251"
10,541GC,Sandusky,Sandusky,OH,"5,087","25,811"
10,541GD,Mansfield,Mansfield,OH,"7,013","64,453"
10,541GE,McCafferty,Cleveland,OH,"2,367","10,897"
10,541GF,Painesville,Painesville,OH,"6,748","43,394"
10,541GG,Akron,Akron,OH,"14,253","133,189"
10,541GH,East Liverpool,Calcutta,OH,"2,921","23,670"
10,541GI,Warren,Warren,OH,"3,948","29,126"
10,541GJ,New Philadelphia,New Philadelphia,OH,"3,480","25,038"
10,541GK,Ravenna,Ravenna,OH,"3,409","21,808"
10,541GL,Parma,Parma,OH,"24,027","152,245"
10,552GA,Middletown,Middletown,OH,"3,352","28,550"
10,552GB,Lima,Lima,OH,"3,892","24,814"
10,552GC,Richmond,Richmond,IN,"3,118","23,684"
10,552GD,Springfield,Springfield,OH,"3,738","33,046"
10,757GA,Zanesville,Zanesville,OH,"3,492","22,424"
10,757GB,Grove City (Franklin County),Grove City,OH,"3,106","13,442"
10,757GC,Marion,Marion,OH,"2,553","14,375"
10,757GD,Newark,Newark,OH,"3,490","19,836"
11,506GA,Toledo,Toledo,OH,"14,522","145,157"
11,506GB,Flint (Genessee County),Flint,MI,"2,681","16,234"
11,506GC,Jackson,Michigan Center,MI,"3,094","16,528"
11,515BY,Grand Rapids,Grand Rapids,MI,"19,437","172,887"
11,515GA,Muskegon,Muskegon,MI,"4,007","25,309"
11,515GB,Lansing,Lansing,MI,"3,878","24,627"
11,515GC,Benton Harbor,Benton Harbor,MI,"2,837","17,187"
11,550BY,Peoria,Peoria,IL,"10,819","97,523"
11,550GA,Decatur,Decatur,IL,"4,446","22,115"
11,550GC,Lafayette,West Lafayette,IN,"2,751","18,929"
11,550GD,Springfield,Springfield,IL,"5,192","33,691"
11,550GF,Charleston (Mattoon),Mattoon,IL,"1,775","11,938"
11,553GA,Yale,Yale,MI,"4,111","20,651"
11,553GB,Pontiac,Pontiac,MI,"3,006","11,781"
11,583GA,Terre Haute,Terre Haute,IN,"4,815","19,636"
11,583GB,Bloomington,Bloomington,IN,"4,879","19,250"
11,583GC,Martinsville,Martinsville,IN,"1,430","6,781"
11,610GA,South Bend,South Bend,IN,"8,930","37,207"
11,610GB,Muncie,Muncie,IN,"4,434","21,084"
11,610GC,Goshen,Goshen,IN,"3,480","15,788"
11,610GD,Peru,Peru,IN,"2,980","13,503"
11,655GA,Gaylord,Gaylord,MI,"3,608","16,977"
11,655GB,Traverse City,Traverse City,MI,"5,100","20,852"
11,655GC,Oscoda,Oscoda,MI,"1,771","7,031"
11,655GD,Alpena County,Alpena,MI,"1,950","10,772"
11,655GE,Clare,Clare,MI,"3,695","15,935"
11,655GF,Bad Axe,Bad Axe,MI,"1,168","5,889"
11,655GG,Cadillac,Cadillac,MI,"2,399","9,791"
11,655GH,Cheboygan,Mackinaw City,MI,"1,534","5,497"
11,655GI,Grayling,Grayling,MI,696,"2,731"
12,537BY,Adams Benjamin Jr. (Crown Point IN),Crown Point,IN,"13,784","123,498"
12,537GA,Chicago Heights,Chicago Heights,IL,"2,473","7,771"
12,537GD,Chicago HCS (Lakeside),Chicago,IL,"4,031","18,792"
12,537HA,Auburn-Gresham (formally Woodlawn (Beverly)),Chicago,IL,"2,592","8,506"
12,556GA,Evanston,Evanston,IL,"1,996","8,241"
12,556GC,McHenry,McHenry,IL,"3,329","16,958"
12,556GD,Kenosha County,Kenosha,WI,"1,877","11,040"
12,578GA,Joliet,Joliet,IL,"5,652","35,641"
12,578GC,Kankakee,Bourbonnais,IL,"2,842","20,616"
12,578GD,Aurora IL,North Aurora,IL,"4,246","25,487"
12,578GE,Elgin,Elgin,IL,"3,749","24,876"
12,578GF,Lasalle,Peru,IL,"3,181","29,383"
12,578GG,Oak Lawn,Oak Lawn,IL,"5,773","33,507"
12,585GA,Hancock,Hancock,MI,"1,793","9,741"
12,585GB,Rhinelander,Rhinelander,WI,"3,486","15,470"
12,585GC,Menominee MI,Menominee,MI,"2,167","12,168"
12,585GD,Ironwood,Ironwood,MI,"1,425","8,365"
12,585HA,Marquette MI,Marquette,MI,"2,588","12,703"
12,585HB,Sault Ste. Marie,Sault Ste Marie,MI,"1,115","5,197"
12,607GC,Janesville,Janesville,WI,"3,183","12,953"
12,607GD,Baraboo,Baraboo,WI,"1,691","6,067"
12,607GE,Beaver Dam,Beaver Dam,WI,"2,279","7,878"
12,607GF,Freeport,Freeport,IL,"1,891","7,311"
12,607HA,Rockford,Rockford,IL,"8,498","49,619"
12,676GA,Wausau,Wausau,WI,"5,402","21,446"
12,676GC,La Crosse,La Crosse,WI,"6,129","28,716"
12,676GD,Wisconsin Rapids,Wisconsin Rapids,WI,"5,647","26,640"
12,676GE,Clark County,Owen,WI,"1,100","2,961"
12,695BY,Appleton,Appleton,WI,"16,367","129,550"
12,695GA,Union Grove WI,Union Grove,WI,"3,433","18,234"
12,695GC,Cleveland,Cleveland,WI,"3,977","14,995"
12,695GD,Milo C. Huempfner VA Outpatient Clinic (Green Bay),Green Bay,WI,"5,275","24,946"
15,589G1,Warrensburg,Warrensburg,MO,"2,283","7,600"
15,589G2,Dodge City,Fort Dodge,KS,"1,315","4,694"
15,589G3,Liberal,Liberal,KS,376,951
15,589G4,Hays,Hays,KS,"2,754","11,329"
15,589G5,Parsons,Parsons,KS,"1,721","8,311"
15,589G7,Hutchinson,Hutchinson,KS,"2,107","12,337"
15,589G8,Jefferson City,Jefferson City,MO,"3,374","20,700"
15,589G9,Fort Riley,Fort Riley,KS,570,897
15,589GB,Belton,Belton,MO,"2,084","7,253"
15,589GC,Louisburg-Paola,Paola,KS,"1,322","5,270"
15,589GD,Nevada,Nevada,MO,"1,923","11,497"
